row ID,row m/z,row retention time,20220504_groupB_DBGI_01_08_01.mzML Peak area,20220504_groupB_DBGI_01_08_02.mzML Peak area,20220504_groupB_DBGI_01_08_03.mzML Peak area,20220504_groupB_DBGI_01_08_04.mzML Peak area,20220504_groupB_DBGI_01_08_05.mzML Peak area,20220504_groupB_DBGI_01_08_06.mzML Peak area,20220504_groupB_DBGI_01_08_07.mzML Peak area,20220504_groupB_DBGI_01_08_08.mzML Peak area,20220504_groupB_DBGI_01_08_09.mzML Peak area,20220504_groupB_DBGI_01_08_10.mzML Peak area,20220504_groupB_DBGI_01_08_11.mzML Peak area,20220504_groupB_DBGI_01_08_12.mzML Peak area,20220504_groupB_DBGI_01_08_13.mzML Peak area,20220504_groupB_DBGI_01_08_14.mzML Peak area,20220504_groupB_DBGI_01_08_15.mzML Peak area,20220504_groupB_DBGI_01_08_B.mzML Peak area,
36,273.1209996541341,0.374975035,6115714.044787083,3.647751768385309E7,0,5.5459594025329E7,1.691558048214187E7,1.4561311827698663E7,5.683595768400619E7,1.2019477796792453E7,2.1769175270760413E7,0,0,1.1433298666089354E7,1.5288928590457624E7,4.403059682234428E7,3.8006734093337126E7,0,
37,600.417269897461,5.51895695,7854314.210606699,1.7974309621653058E7,1.7774129789866816E7,0,2.523409264819146E7,9688995.7708542,0,0,8034615.744802459,5029712.275766598,1883003.0697539812,5092416.592210521,1.4085293254549913E7,0,0,0,
38,325.09180704752606,1.6524974333333333,6958733.797932277,2522829.7067394312,2.493723026227424E7,0,0,0,0,0,0,8265088.970654417,0,2291479.5198532497,0,6223310.87286615,0,0,
40,120.08095862648703,0.7498020572727273,1.6369892206749583E7,0,0,6750430.300435525,2.2182571492840383E7,2.9756380819172192E7,1.0650928992016386E7,7188833.633201099,5.606942927455023E7,1.064143048604135E7,0,0,5.888931082226992E7,6.671882923991818E7,3.120722528838467E7,0,
41,163.03893127441407,1.65442046,5873543.302733717,2335358.9811269008,2.957993060680277E7,0,0,0,0,0,0,6849885.628673417,0,0,0,5727700.246580216,0,0,
42,257.1470219538762,0.3920757053846154,4068383.6867105425,2.7620893194348365E7,3305692.79663743,5338532.690581846,2586084.332532749,1.23090971814155E7,4.106382192057414E7,5750946.221897812,2029460.8993907815,0,0,1980084.5601464154,1.9642300702918947E7,3344851.9365923433,3.1326919344702613E7,0,
43,812.4787089029948,3.1957862,2454012.8004052406,7727253.564515565,0,0,0,2829807.221509888,0,0,0,0,0,0,0,0,0,0,
46,112.89596835049716,0.3884575772727273,6716850.144350099,1.2775350545436997E7,0,2643240.6475054137,1335901.5093459743,7719385.521255151,5.863049665730851E7,2.7460327379466407E7,8810991.447780617,0,0,0,2360089.2086556936,3421627.9038329716,1.3126639441218605E7,0,
47,644.2185668945312,1.6634728,2370112.3963866537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,203.05258317427203,0.41661392999999997,1.1719830557088658E7,6.241381605814968E7,1.5267714824973028E7,1.333761577848457E7,1691003.5635633196,4688119.0184657555,1566388.6167905906,5268165.298912819,0,0,0,0,4.753879753811546E7,5012425.743366469,3.683979234614223E7,0,
49,799.5327392578125,7.24092826,4347391.652303946,0,0,0,0,0,4195716.962465964,3517678.831214991,0,3056314.3351924527,0,0,0,2827132.6894885134,0,0,
50,453.33649190266925,2.6580867,2722565.436848823,2.839785759262378E7,0,0,0,0,0,0,0,0,0,0,3030071.773197389,0,0,0,
51,600.4170205252511,6.014310757142857,2375087.368267799,3996332.737061003,3313689.4116354925,5805402.417636503,0,2525977.3985020095,6087175.07554053,5695573.242832445,3365858.4978726963,2014355.195374989,1005379.7532755521,2359633.327131413,7388972.2367798975,7105708.21947067,5177924.121974844,0,
52,439.357177734375,4.4947657,1975659.4574090987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,801.5486145019531,7.553891233333334,2868739.5426612133,0,0,0,2677391.6554715373,0,2374343.019616428,3157474.173177038,0,1904158.1762271873,0,0,0,1939350.180372562,0,0,
54,230.24795977274576,3.5486557083333334,1613528.859014802,0,1612124.3573304515,0,1725735.114578262,1699580.982557258,1684449.748492317,1604059.3337591353,1586827.264798509,1658351.3579284518,1606767.6389958863,1636602.7613357976,0,1710237.7503506097,0,1736948.0405827402,
56,593.1865844726562,1.9223124,1827360.842353032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,361.16456604003906,3.3630958499999997,1775457.1030288306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3015794.6180705577,
59,959.5700887044271,6.683556483333333,2494210.222473941,0,4453017.98529862,4877195.062872498,3041035.038724315,2328628.7248086506,3896887.2619012147,3249365.8999267095,3675122.944333896,0,2902596.690854564,0,3251423.1605416075,4010305.480095897,3931392.44696196,0,
60,854.4897003173828,3.5216264500000003,1519227.7208681242,8329281.743538557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,168.01353352864584,0.503989226,8654931.139003089,4448270.951737922,5541636.354172227,3904120.9290190316,0,6837421.030104293,3378201.8471618616,3484995.313730072,6399286.28116673,8709436.706999898,1.1283874279002665E7,1.1616217224911625E7,4415728.553317463,4796831.241836868,2905400.185472586,1.6746186774133341E7,
62,153.99784675011267,0.5652208661538461,1.2674760318689546E7,9679219.097515088,1.0736156178536693E7,0,6326458.985913864,1.1572298835504426E7,0,0,1.1426785549365694E7,1.1029445314799203E7,1.422314105746876E7,1.3072154272394324E7,7306455.22262323,8207618.535080756,7377807.925732376,1.5669313430496683E7,
63,331.19044494628906,4.845489150000001,1928880.2854991886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5150340.996222889,
64,381.07929160378194,0.4038788890909091,6329629.679136976,5681172.692049872,2231512.043171615,3.963187406952457E7,8.610027043471195E8,0,0,4338481.069493775,8706880.695839288,6652953.438469088,0,0,2.1242956506186165E7,2.5640953493969496E7,8.164324558111496E7,0,
66,148.0604248046875,0.4315570888888889,8853766.031035662,0,0,1646993.1534716345,1.2743230041846732E7,0,0,0,1.5206336737949656E7,1.6099249573689722E7,8852889.612939468,0,5350540.752015311,9859089.270605467,4018332.2941253157,0,
67,200.2009506225586,4.310362466666666,1519293.284803206,1828759.093483485,1754747.2720316448,1803453.3961715405,1783205.455064595,1781936.7084336346,1783653.9977349285,1449563.2235615447,1733830.3960228662,1821146.8295732145,1804485.9853005172,1773776.580495351,0,1687248.2562264244,1718965.3144915542,1767244.4322423746,
68,677.2076416015625,2.5901583,3143661.394856998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,600.4171661376953,5.737728990000001,2182219.079557983,0,3653590.8077310976,4972803.202826601,4307084.690559938,0,6651191.163883758,6672499.473311845,0,1406937.9081675778,0,1328429.5723625596,0,5923692.334350628,5000978.01656099,0,
70,141.09104868570964,3.9800571600000003,1705390.3631628803,1480180.2939208294,1633079.9939281691,1513673.0842350917,1441116.5172099336,1527870.8246639967,1443677.4919537464,1439527.2110874227,1476251.1078780065,1443217.695471942,1342707.8219713885,1391400.7668685375,0,1288057.235810052,1372104.0939875639,1684128.1604210462,
71,635.1971435546875,2.0930454,1047538.2741530687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,122.92462984720866,0.3687912258333333,2332514.149595324,5383636.175572425,0,5226716.906668033,5774811.77403221,3370433.5943416688,9752373.752353538,7132608.877977675,3418728.129180957,2480506.3833225747,0,0,1528365.1256138997,4871601.250678106,3281201.0145155424,0,
73,262.2377014160156,3.0428270600000005,1086681.941882045,0,0,0,1054564.7317251507,0,0,0,0,1003506.8979320648,0,957367.6774003027,0,0,0,969305.9837744827,
75,163.0389404296875,2.159032266666667,1006105.865061085,2054498.1272032417,0,0,0,0,0,0,0,2764051.836929055,0,0,0,0,0,0,
76,635.1970825195312,2.2676466,1010101.7152404446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,600.4171682504507,6.179079107692308,1220870.0184764771,2418472.6965828897,1945957.0954246905,4012057.7365197046,6540412.352598335,0,4095076.982384794,3313272.138139625,1772499.1602895928,1008680.0380165357,0,1093476.0863187336,3995789.490481113,4504682.69078173,3258572.523715511,0,
78,129.0547612508138,0.7271553466666667,4119522.9090612466,1.3107747273336425E7,9533669.573535174,0,4.608132050158242E7,1.904684739803765E7,0,0,0,1.7731817716311757E7,0,0,0,0,0,0,
80,319.1176986694336,3.54877225,881031.1950624301,3.6075399977457136E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,268.1038284301758,0.53251401,4536932.174217047,1.1720893278862312E7,0,4486068.304816042,0,0,0,0,0,0,0,0,3089620.6843261397,4512330.431238804,9385112.424265366,0,
82,174.11253356933594,0.49538147499999996,5718807.307690978,7920835.841535347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,249.1103057861328,3.9565922199999997,888918.8474118806,0,0,0,0,0,0,0,0,877736.9670951632,0,868261.8501450972,1.4833990614123806E7,0,0,1056047.300667743,
84,595.1658325195312,1.7192824,1075640.98311675,0,0,0,4935590.825881496,0,0,0,0,0,0,0,0,0,0,0,
85,584.4221282958985,5.66977133,1513722.385342053,1477827.652261798,2120690.643131651,0,1351710.016537811,0,0,2819716.3992401217,1921090.6003905896,1103380.735635467,980965.8930148173,1268660.2446437709,0,0,3132796.767418605,0,
87,250.17777201334636,3.2694899733333336,2069975.7129856828,1490842.1951316532,2053699.2505705352,1451015.4471912168,1798672.0576120378,2366134.0106980205,1629432.961503848,1837828.0477534616,1921302.7203290602,1913030.1738434979,2120176.35326972,2370036.461336628,0,1408123.207900782,1001920.9676995331,3427254.3096366557,
88,325.09178797403973,1.9211671500000003,1402001.4304810313,1.5255844669016091E7,9.830752940641575E7,8.528153552573429E7,2.4838239175610533E8,1822643.6912772055,0,0,2.042468994147344E7,4.2419706876769945E7,0,1.4386617088067599E7,1.042896901816507E8,1.766879778476103E8,1.0276896504893585E8,0,
91,156.07681465148926,0.4923120575,3324856.773006814,0,0,0,0,4983753.689647059,0,0,7740534.528765166,0,0,0,0,6535712.588795127,0,0,
95,160.0744743347168,7.933026125,2526337.725858716,0,0,0,2367553.5269357846,0,0,0,0,0,0,0,0,0,1616161.3851504382,3344067.423751884,
96,693.202392578125,2.4905806,871773.1073955975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
101,167.1291961669922,6.6339155,1137557.6989499046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102,174.11253356933594,0.69378807,981450.575209633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104,206.0292205810547,0.7439018749999999,775674.2065392387,0,0,0,3954730.804158083,0,0,0,0,0,0,0,0,0,0,0,
105,202.10879821777343,7.6691111,887855.7978460327,0,0,1386294.8376449144,0,1049222.1926139202,977290.3354202957,0,0,1349071.8837480934,0,0,0,0,0,0,
106,115.96435642242432,5.262952712500001,2484958.542544694,2076304.4755188592,1633742.1198088168,0,0,2759320.075101749,0,0,2620896.8587910575,0,1901849.07573685,2142434.810356865,0,0,0,1780931.8885619154,
107,175.09824752807617,7.930912599999999,1473095.269740377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3076045.9291738197,
108,115.9643513361613,5.053766491666666,2645972.5652505,1093805.6755581594,978860.7432009423,0,2857782.94209994,1017274.8944876387,1406452.0070462006,1911454.5003820336,883073.9479364041,1649077.9536902662,1440235.9037678412,3064128.0802402548,0,0,0,3066022.881913218,
109,391.2843017578125,0.2485471,1245865.8058180495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
110,114.1028823852539,6.6069076,1228834.0857104124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
112,273.11212158203125,3.1992456,0,8.788609058493048E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113,259.09661865234375,3.6539954999999997,0,9.002002323142892E7,1909433.1406825236,0,2969703.8716590144,0,0,0,0,0,0,0,9016791.00709127,0,0,0,
114,303.122802734375,3.3438287,0,6.233447279009488E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
115,221.18600117076528,0.3948031681818181,0,1.2246131577681763E8,7604329.09376879,1.118949683252296E8,2579130.6413908685,4.3281264181857236E7,8.201071755505508E7,2.8244741934771474E7,5.02176612714039E7,0,0,0,1.0712684167585678E8,1.5509730727387643E8,1.4591867386896062E8,0,
116,235.16528112238103,0.4312334490909091,0,8.455137041520934E7,9477067.542567346,7.296935956129701E7,2.3091498946866717E7,3.361097136988716E7,1.9969082870649487E8,1.9171093079616703E7,1.9917769844906647E7,0,0,0,2.488051917079908E7,4.881139883475586E7,1.0115345450136633E8,0,
117,289.1070861816406,3.40078208,0,3.3699515873594694E7,1726069.833830636,0,1035199.8841794411,0,0,0,0,0,0,0,3.2408636725500483E7,7932923.022735671,0,0,
118,259.09662373860675,3.0722690333333333,0,2.1250160010289993E7,0,0,3051710.763635983,0,0,0,0,0,0,0,2.6869948014739476E7,0,0,0,
119,289.1071548461914,3.90816405,0,2.3725800140851617E7,0,0,0,0,0,0,0,0,0,0,3943732.7996115824,0,0,0,
120,163.03894181685015,1.9217997363636365,0,1.2730191878661212E7,8.682157931537057E7,1.6385958928461874E8,2.2764160219527352E8,1589262.937979518,0,0,3.569838541544178E7,3.806451323380204E7,0,1.6217929564023899E7,9.783529394340955E7,1.6630388745898104E8,9.750449132606244E7,0,
121,567.4203186035156,6.303233311111111,0,2282699.8052474656,0,4660955.083048187,4503150.252599249,0,3672446.6144808168,3367710.943845949,0,1392422.1655465646,0,0,3479952.3070539935,5100204.869343935,3543036.944990861,0,
122,579.1712036132812,1.9350196,0,1.7019886455650613E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
123,289.10585021972656,2.9972482,0,2.844860827770336E7,0,0,0,0,0,0,0,0,0,0,1.891464310939847E7,0,0,0,
124,355.11767578125,2.7512339,0,1.2648194916006822E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
125,191.17932891845703,3.1959257,0,9332566.59249816,0,0,0,2141247.3763253554,0,0,0,0,0,0,0,0,0,0,
126,453.3365783691406,3.6597533999999996,0,1.0274501429637164E7,0,0,0,0,0,0,0,0,0,0,2541155.276994574,0,3781629.067619257,0,
127,343.1177062988281,2.7512339,0,8084525.124062236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
128,325.10723876953125,2.7512339,0,8408864.899718076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
129,243.10169982910156,3.5288488,0,9272421.705355838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
130,415.3572047306941,7.477164069230769,0,7499546.408794272,3662419.6075055874,4003038.9726792816,5536590.648454958,3855003.436654884,8704260.700965472,1.1398422554029975E7,9401343.494894559,5443706.949141064,0,2959305.770698959,7468240.810919631,2.2509940642991822E7,7956339.322243576,0,
131,281.07847595214844,3.6429762,0,9264517.376646083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
132,564.2078857421875,2.7512339,0,7730372.618810869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
133,275.0914306640625,3.0214882,0,1.0016557486206358E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
134,329.1595153808594,1.8276153,0,9313085.892677646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
135,273.1121368408203,3.6429762,0,7519325.661319949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
136,469.33154296875,2.5670515,0,4091922.257575272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
137,431.35219029017856,7.287181814285715,0,6898952.449411298,0,5171006.839033389,6165538.818787375,6357133.200318426,0,0,7368079.661022001,0,0,0,0,2303442.2822000547,5472345.304758379,0,
138,433.1130905151367,1.9068828,0,6604868.493549924,0,1.7371556156722076E7,0,0,0,0,0,0,0,0,0,0,0,0,
139,455.3519337972005,4.399146533333333,0,4774113.53763456,0,1525941.5611750314,928444.6370428327,0,1948760.584825421,0,0,0,0,0,7021603.477789501,0,9173119.702038012,0,
140,325.1049499511719,3.3438287,0,4927500.557120911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
141,471.34710693359375,3.5661836,0,5813401.877186428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
142,609.1817016601562,1.8348964,0,4215752.401312243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
143,446.2021179199219,2.2496147,0,3883064.398017807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
144,279.23192405700684,4.555722049999999,0,4349676.694271588,684233.0983805715,1069409.5446556814,2303827.913108655,3257775.772649018,1201718.0047406293,993659.9689196283,0,0,0,0,0,2327276.9507556637,0,0,
145,174.8958709716797,0.40069669799999996,0,1.5172489957571324E7,0,4372538.916116204,3357117.8618053487,4460488.4348387355,0,0,0,0,0,0,0,2634821.392796962,0,0,
146,191.17942810058594,3.5189115,0,4192228.0728352466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
147,439.35718536376953,5.213502666666667,0,4035493.6628100276,0,0,4340758.313626932,0,2372801.74100651,1479443.1591629114,0,0,750833.349522288,867179.7095028015,0,0,0,0,
148,207.13804626464844,1.78473505,0,3744839.5531200003,0,0,0,0,1.0644344178084388E7,0,0,0,0,0,0,0,0,0,
149,295.0937194824219,3.1992456,0,4564164.968020474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
150,374.21746826171875,1.8276153,0,4728514.133032887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
151,355.11767578125,2.3354279,0,3148239.789968031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
152,333.1332702636719,3.4149047,0,3374707.7960570683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
153,277.21637471516925,4.278711444444444,0,3830205.141217675,2039513.9442358033,4733765.912057577,0,1517026.895006332,3617412.9254706316,2937316.920535533,0,0,0,0,7334021.284718858,3558634.016993379,6089776.29094516,0,
154,517.1707763671875,2.7512339,0,4046825.8642012742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
156,305.1020202636719,3.141776,0,3780908.304643743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
157,341.0996398925781,3.5558046,0,4136292.7136231055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
159,581.150146484375,1.7215856,0,3153916.1935815094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
160,281.0784912109375,3.0740685,0,3131544.813490583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
161,179.07025146484375,2.10585735,0,5591185.287323807,5428538.258512596,0,0,0,0,0,0,0,0,0,0,0,0,0,
162,144.10195922851562,0.45504925,0,1.3342280895285463E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
163,423.126220703125,2.2570355,0,2835703.881795221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
164,293.13854217529297,3.68782705,0,5700043.889287586,0,0,0,0,0,0,0,0,0,0,6.838429536228885E7,0,0,0,
165,196.87791442871094,0.39281471,0,8211427.59246467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
166,449.10791778564453,1.7040273,0,2476988.3075923217,0,0,0,8078630.997380513,0,0,0,0,0,0,0,0,0,0,
167,453.33648681640625,2.8484504,0,2513247.3310687756,0,0,0,0,0,0,0,0,0,0,0,0,1834880.9278785973,0,
168,295.2268600463867,4.708320775000001,0,2401742.734645296,0,0,0,1955979.2249435745,0,969568.5908492022,0,0,0,0,0,2232305.907810833,0,0,
169,212.85177612304688,0.383830255,0,6805463.905540397,0,2262390.501172557,1520377.5776496928,1296493.4946299447,0,0,0,0,0,0,0,0,0,0,
170,311.0889434814453,3.870433,0,2591547.786756938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
171,437.34130859375,4.3315196,0,1978014.906511712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
172,311.0889587402344,3.4027552500000002,0,2786279.6239558184,0,0,0,0,0,0,0,0,0,0,2239044.629689697,0,0,0,
173,215.05327224731445,0.7002274949999999,0,8388206.741641537,0,6310248.006307887,1.4114449102507679E7,9951549.480646988,0,0,0,0,0,0,0,0,0,0,
174,471.34710693359375,2.8167309,0,1714929.7914040496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
175,471.34698486328125,2.6066383,0,2097003.0177667555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
176,114.89325387137276,0.3868456057142856,0,4886171.472908616,0,0,0,2791963.075466194,2.4178887754685976E7,1.0917165938659526E7,3246975.684236981,0,0,0,0,1018811.9351602028,5018092.241524677,0,
177,233.04225158691406,0.40714105,0,7049783.375203387,0,0,2748330.1197834383,0,0,0,0,0,0,0,0,0,0,0,
178,158.92205810546875,0.40953113,0,6756156.854398247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
179,304.1544494628906,3.6429762,0,2294588.825008873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
